Артикул;Наименование;Размер;Цвет;Категория;Подкатегория;пол;Продажи, шт;Продажи, руб.
ХалатВафЖенсерый;халат вафельный женский серый;48;серый;Халат вафельный;Классический вафельный;женский;257;619565
ХалатВафЖенсерый;халат вафельный женский серый;50;серый;Халат вафельный;Классический вафельный;женский;232;575458
ХалатВафЖенсерый;халат вафельный женский серый;52;серый;Халат вафельный;Классический вафельный;женский;201;493800
ХалатВафЖенсерый;халат вафельный женский серый;54;серый;Халат вафельный;Классический вафельный;женский;225;558392
ХалатВафЖенсерый;халат вафельный женский серый;56;серый;Халат вафельный;Классический вафельный;женский;168;411214
ХалатВафЖенсерый;халат вафельный женский серый;58;серый;Халат вафельный;Классический вафельный;женский;142;349046
ХалатВафЖенсерый;халат вафельный женский серый;60;серый;Халат вафельный;Классический вафельный;женский;157;380803
ХалатВафЖенсерый;халат вафельный женский серый;62-64;серый;Халат вафельный;Классический вафельный;женский;341;829943
ХалатВафЖенсерый;халат вафельный женский серый;66-68;серый;Халат вафельный;Классический вафельный;женский;317;788945
ХалатВафЖенсерый;халат вафельный женский серый;70-72;серый;Халат вафельный;Классический вафельный;женский;401;986786
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;42;фиолетовый;Халат вафельный;Классический вафельный;женский;44;99489
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;44;фиолетовый;Халат вафельный;Классический вафельный;женский;80;182439
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;46;фиолетовый;Халат вафельный;Классический вафельный;женский;120;261845
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;48;фиолетовый;Халат вафельный;Классический вафельный;женский;169;392729
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;50;фиолетовый;Халат вафельный;Классический вафельный;женский;157;349317
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;52;фиолетовый;Халат вафельный;Классический вафельный;женский;144;332689
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;54;фиолетовый;Халат вафельный;Классический вафельный;женский;136;312200
ХалатВафЖенфиолетовый;халат вафельный женский фиолетовый;56;фиолетовый;Халат вафельный;Классический вафельный;женский;158;373368
ХалатВафЖенчерный;халат вафельный женский черный;42;черный;Халат вафельный;Классический вафельный;женский;4;9208
ХалатВафЖенчерный;халат вафельный женский черный;44;черный;Халат вафельный;Классический вафельный;женский;29;65806
ХалатВафЖенчерный;халат вафельный женский черный;46;черный;Халат вафельный;Классический вафельный;женский;15;31824
ХалатВафЖенчерный;халат вафельный женский черный;48;черный;Халат вафельный;Классический вафельный;женский;37;76867
ХалатВафЖенчерный;халат вафельный женский черный;50;черный;Халат вафельный;Классический вафельный;женский;27;60515
ХалатВафЖенчерный;халат вафельный женский черный;52;черный;Халат вафельный;Классический вафельный;женский;46;106864
ХалатВафЖенчерный;халат вафельный женский черный;54;черный;Халат вафельный;Классический вафельный;женский;61;139269
ХалатВафЖенчерный;халат вафельный женский черный;56;черный;Халат вафельный;Классический вафельный;женский;65;152827
ХалатВафЖенчерный;халат вафельный женский черный;58;черный;Халат вафельный;Классический вафельный;женский;41;93854
ХалатВафЖенчерный;халат вафельный женский черный;60;черный;Халат вафельный;Классический вафельный;женский;47;108434
Uhvw0015bezh;халат вафельный женский короткий, бежевый;42-44;бежевый;Халат вафельный;Классический вафельный;женский;223;428479
Uhvw0015bezh;халат вафельный женский короткий, бежевый;46-48;бежевый;Халат вафельный;Классический вафельный;женский;179;343823
Uhvw0015bel;халат вафельный женский короткий, белый;42-44;белый;Халат вафельный;Классический вафельный;женский;197;340849
Uhvw0015bel;халат вафельный женский короткий, белый;46-48;белый;Халат вафельный;Классический вафельный;женский;120;205545
Uhvw0015tser;халат вафельный женский короткий, темно-серый;42-44;темно-серый;Халат вафельный;Классический вафельный;женский;186;367984
Uhvw0015tser;халат вафельный женский короткий, темно-серый;46-48;темно-серый;Халат вафельный;Классический вафельный;женский;158;313007
Uhvw0007bezh;халат вафельный женский бежевый с черным кантом;42-44;бежевый;Халат вафельный;Дизайнерский вафельный;женский;297;745162
Uhvw0007bezh;халат вафельный женский бежевый с черным кантом;46-48;бежевый;Халат вафельный;Дизайнерский вафельный;женский;280;699625
Uhvw0007bezh;халат вафельный женский бежевый с черным кантом;50-52;бежевый;Халат вафельный;Дизайнерский вафельный;женский;119;298912
Uhvw0007gol;халат вафельный женский голубой с бежевым кантом;42-44;Голубой;Халат вафельный;Дизайнерский вафельный;женский;223;541456
Uhvw0007gol;халат вафельный женский голубой с бежевым кантом;46-48;Голубой;Халат вафельный;Дизайнерский вафельный;женский;232;578677
Uhvw0007gol;халат вафельный женский голубой с бежевым кантом;50-52;Голубой;Халат вафельный;Дизайнерский вафельный;женский;132;322601
Uhvw0007ser;халат вафельный женский серый с черным кантом;42-44;серый;Халат вафельный;Дизайнерский вафельный;женский;332;840077
Uhvw0007ser;халат вафельный женский серый с черным кантом;46-48;серый;Халат вафельный;Дизайнерский вафельный;женский;430;1076667
Uhvw0007ser;халат вафельный женский серый с черным кантом;50-52;серый;Халат вафельный;Дизайнерский вафельный;женский;207;517905
Uhvw0007cher;халат вафельный женский черный с белым кантом;42-44;черный;Халат вафельный;Дизайнерский вафельный;женский;750;2016205
Uhvw0007cher;халат вафельный женский черный с белым кантом;46-48;черный;Халат вафельный;Дизайнерский вафельный;женский;720;1942122
Uhvw0007cher;халат вафельный женский черный с белым кантом;50-52;черный;Халат вафельный;Дизайнерский вафельный;женский;334;901877
Uhvw0008kap;халат вафельный женский Adele капучино;42-44;Капучино;Халат вафельный;Дизайнерский вафельный;женский;434;1445670
Uhvw0008kap;халат вафельный женский Adele капучино;46-48;Капучино;Халат вафельный;Дизайнерский вафельный;женский;494;1646203
Uhvw0008kap;халат вафельный женский Adele капучино;50-52;Капучино;Халат вафельный;Дизайнерский вафельный;женский;284;948605
Uhvw0008milk;халат вафельный женский Adele молочный;42-44;молочный;Халат вафельный;Дизайнерский вафельный;женский;339;1123454
Uhvw0008milk;халат вафельный женский Adele молочный;46-48;молочный;Халат вафельный;Дизайнерский вафельный;женский;365;1199720
Uhvw0008milk;халат вафельный женский Adele молочный;50-52;молочный;Халат вафельный;Дизайнерский вафельный;женский;172;565625
Uhvw0008ser;халат вафельный женский Adele серый;42-44;серый;Халат вафельный;Дизайнерский вафельный;женский;272;888298
Uhvw0008ser;халат вафельный женский Adele серый;46-48;серый;Халат вафельный;Дизайнерский вафельный;женский;233;751755
Uhvw0008ser;халат вафельный женский Adele серый;50-52;серый;Халат вафельный;Дизайнерский вафельный;женский;124;400100
Uhvw0008sir;халат вафельный женский Adele сиреневый;42-44;Сиреневый;Халат вафельный;Дизайнерский вафельный;женский;411;1344011
Uhvw0008sir;халат вафельный женский Adele сиреневый;46-48;Сиреневый;Халат вафельный;Дизайнерский вафельный;женский;375;1230916
Uhvw0008sir;халат вафельный женский Adele сиреневый;50-52;Сиреневый;Халат вафельный;Дизайнерский вафельный;женский;244;802843
Uhvw0012bel-zel;халат вафельный женский Olivia;42-44;белый, зеленый;Халат вафельный;Дизайнерский вафельный;женский;43;136846
Uhvw0012bel-zel;халат вафельный женский Olivia;46-48;белый, зеленый;Халат вафельный;Дизайнерский вафельный;женский;77;241986
Uhvw0012bel-zel;халат вафельный женский Olivia;50-52;белый, зеленый;Халат вафельный;Дизайнерский вафельный;женский;92;290344
Uhvw0013mol-graf;халат жаккардовый женский Terry, молочно-графитовый;42-44;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;42;179536
Uhvw0013mol-graf;халат жаккардовый женский Terry, молочно-графитовый;46-48;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;90;396731
Uhvw0013mol-graf;халат жаккардовый женский Terry, молочно-графитовый;50-52;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;81;354640
Uhvw0013mol-graf;халат жаккардовый женский Terry, молочно-графитовый;54-56;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;28;119185
Uhvw0013mol-graf;халат жаккардовый женский Terry, молочно-графитовый;58-60;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;21;91942
Uhvw0014mol-graf;халат жаккардовый женский короткий Terry, молочно-графитовый;42-44;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;56;165556
Uhvw0014mol-graf;халат жаккардовый женский короткий Terry, молочно-графитовый;46-48;молочный, графитовый;Халат вафельный;Дизайнерский вафельный;женский;50;146500
UhvTeen0001milk;халат вафельный для девочки с капюшоном молочный ;116-122;молочный;Халат вафельный;Детский вафельный;дети;11;30559
UhvTeen0001milk;халат вафельный для девочки с капюшоном молочный ;128-134;молочный;Халат вафельный;Детский вафельный;дети;35;102335
UhvTeen0001milk;халат вафельный для девочки с капюшоном молочный ;140-146;молочный;Халат вафельный;Детский вафельный;дети;85;245909
UhvTeen0001milk;халат вафельный для девочки с капюшоном молочный ;152-158;молочный;Халат вафельный;Детский вафельный;дети;137;394868
UhvTeen0001pgol;халат вафельный для мальчика с капюшоном пыльно-голубой ;116-122;пыльно-голубой;Халат вафельный;Детский вафельный;дети;26;77380
UhvTeen0001pgol;халат вафельный для мальчика с капюшоном пыльно-голубой ;128-134;пыльно-голубой;Халат вафельный;Детский вафельный;дети;49;139978
UhvTeen0001pgol;халат вафельный для мальчика с капюшоном пыльно-голубой ;140-146;пыльно-голубой;Халат вафельный;Детский вафельный;дети;94;276203
UhvTeen0001pgol;халат вафельный для мальчика с капюшоном пыльно-голубой ;152-158;пыльно-голубой;Халат вафельный;Детский вафельный;дети;135;378587
UhvTeen0001ser;халат вафельный для мальчика с капюшоном серый ;116-122;серый;Халат вафельный;Детский вафельный;дети;16;48532
UhvTeen0001ser;халат вафельный для мальчика с капюшоном серый ;128-134;серый;Халат вафельный;Детский вафельный;дети;20;57056
UhvTeen0001ser;халат вафельный для мальчика с капюшоном серый ;140-146;серый;Халат вафельный;Детский вафельный;дети;39;108862
UhvTeen0001ser;халат вафельный для мальчика с капюшоном серый ;152-158;серый;Халат вафельный;Детский вафельный;дети;61;168645
UhvTeen0001sin;халат вафельный для мальчика с капюшоном синий ;116-122;синий;Халат вафельный;Детский вафельный;дети;19;54377
UhvTeen0001sin;халат вафельный для мальчика с капюшоном синий ;128-134;синий;Халат вафельный;Детский вафельный;дети;41;116594
UhvTeen0001sin;халат вафельный для мальчика с капюшоном синий ;140-146;синий;Халат вафельный;Детский вафельный;дети;61;173781
UhvTeen0001sin;халат вафельный для мальчика с капюшоном синий ;152-158;синий;Халат вафельный;Детский вафельный;дети;89;247227
UhvTeen0001sir;халат вафельный для девочки с капюшоном сиреневый ;116-122;сиреневый;Халат вафельный;Детский вафельный;дети;6;17886
UhvTeen0001sir;халат вафельный для девочки с капюшоном сиреневый ;128-134;сиреневый;Халат вафельный;Детский вафельный;дети;37;105142
UhvTeen0001sir;халат вафельный для девочки с капюшоном сиреневый ;140-146;сиреневый;Халат вафельный;Детский вафельный;дети;116;325855
UhvTeen0001sir;халат вафельный для девочки с капюшоном сиреневый ;152-158;сиреневый;Халат вафельный;Детский вафельный;дети;178;491395
UhvDet0002mint;халат вафельный детский с вышивкой мятный ;104-110;мятный;Халат вафельный;Детский вафельный;дети;177;306557
UhvDet0002mint;халат вафельный детский с вышивкой мятный ;116-122;мятный;Халат вафельный;Детский вафельный;дети;158;278336
UhvDet0002mint;халат вафельный детский с вышивкой мятный ;92-98;мятный;Халат вафельный;Детский вафельный;дети;131;221527
UhvDet0002sroz;халат вафельный детский с вышивкой светло-розовый ;104-110;светло-розовый;Халат вафельный;Детский вафельный;дети;516;1146391
UhvDet0002sroz;халат вафельный детский с вышивкой светло-розовый ;116-122;светло-розовый;Халат вафельный;Детский вафельный;дети;480;1056297
UhvDet0002sroz;халат вафельный детский с вышивкой светло-розовый ;92-98;светло-розовый;Халат вафельный;Детский вафельный;дети;232;508971
UhvDet0002sin;халат вафельный детский с капюшоном и вышивкой синий ;104-110;синий;Халат вафельный;Детский вафельный;дети;407;937149
UhvDet0002sin;халат вафельный детский с капюшоном и вышивкой синий ;116-122;синий;Халат вафельный;Детский вафельный;дети;363;842964
UhvDet0002sin;халат вафельный детский с капюшоном и вышивкой синий ;92-98;синий;Халат вафельный;Детский вафельный;дети;193;442302
UhvDet0003bel-ser;халат вафельный детский с капюшоном и принтом киты;104-110;белый, серый;Халат вафельный;Детский вафельный;дети;12;23690
UhvDet0003bel-ser;халат вафельный детский с капюшоном и принтом киты;116-122;белый, серый;Халат вафельный;Детский вафельный;дети;26;52451
UhvDet0003bel-ser;халат вафельный детский с капюшоном и принтом киты;128-134;белый, серый;Халат вафельный;Детский вафельный;дети;65;133676
UhvDet0003bel-ser;халат вафельный детский с капюшоном и принтом киты;140-146;белый, серый;Халат вафельный;Детский вафельный;дети;143;298892
