Артикул;Наименование;Характеристика;Цвет;Категория;Подкатегория;пол;СС руб/шт
Uhvw0013mol-graf;Unelle халат жаккардовый женский Terry молочно-графитовый;54-56;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;1303
Uhvm0007ser-kor;Unelle халат вафельный мужской серо-коричневый с черным кантом;54-56;Серо-коричневый;Халат вафельный;Дизайнерский вафельный;мужской;797
Uhmw0003ser;Unelle халат махровый женский серый Лена;54-56;серый;Халат махровый;Классический махровый;женский;1251
Uhmm0010tzel;Unelle халат махровый мужской темно-зелёный Лена;54-56;темно-зелёный;Халат махровый;Классический махровый;мужской;1582
UhmM0009tsin;Unelle халат махра-велюр мужской с капюшоном темно-синий Лена;54-56;темно-синий;Халат махровый;Классический махровый;мужской;1820
Uhmm0010tsin;Unelle халат махровый мужской темно-синий Лена;54-56;темно-синий;Халат махровый;Классический махровый;мужской;1577
UhvM0003tsin;Unelle халат вафельный мужской с капюшоном темно-синий;54-56;темно-синий;Халат вафельный;Классический вафельный;мужской;969
Uhvm0007sin;Unelle халат вафельный мужской синий с белым кантом;54-56;темно-синий;Халат вафельный;Дизайнерский вафельный;мужской;794
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;58-60;бежевый;Халат махровый;Классический махровый;женский;1366
Uhmw0003bel;Unelle халат махровый женский белый Лена;58-60;белый;Халат махровый;Классический махровый;женский;1562
Uhvw0001bel;Unelle халат вафельный женский белый гиг;58-60;белый;Халат вафельный;Классический вафельный;женский;743
UhmM0009graf;Unelle халат махра-велюр мужской с капюшоном графитовый Лена;58-60;графитовый;Халат махровый;Классический махровый;мужской;1795
Uhmm0010graf;Unelle халат махровый мужской графитовый Лена;58-60;графитовый;Халат махровый;Классический махровый;мужской;1588
UhvM0003graf;Unelle халат вафельный мужской с капюшоном графитовый;58-60;графитовый;Халат вафельный;Классический вафельный;мужской;1009
Uhvm0002graf;Unelle халат вафельный мужской графитовый гиг;58-60;графитовый;Халат вафельный;Классический вафельный;мужской;819
Uhvm0007graf;Unelle халат вафельный мужской графитовый с белым кантом;58-60;графитовый;Халат вафельный;Дизайнерский вафельный;мужской;848
Uhvw0001graf;Unelle халат вафельный женский графитовый гиг;58-60;графитовый;Халат вафельный;Классический вафельный;женский;808
Uhmw0003kup;Unelle халат махровый женский капучино Лена;58-60;Капучино;Халат махровый;Классический махровый;женский;1462
Uhvw0013mol-graf;Unelle халат жаккардовый женский Terry молочно-графитовый;58-60;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;1359
Uhvm0007ser-kor;Unelle халат вафельный мужской серо-коричневый с черным кантом;58-60;Серо-коричневый;Халат вафельный;Дизайнерский вафельный;мужской;839
Uhmm0010tzel;Unelle халат махровый мужской темно-зелёный Лена;58-60;темно-зелёный;Халат махровый;Классический махровый;мужской;1643
UhmM0009tsin;Unelle халат махра-велюр мужской с капюшоном темно-синий Лена;58-60;темно-синий;Халат махровый;Классический махровый;мужской;1849
Uhmm0010tsin;Unelle халат махровый мужской темно-синий Лена;58-60;темно-синий;Халат махровый;Классический махровый;мужской;1538
UhvM0003tsin;Unelle халат вафельный мужской с капюшоном темно-синий;58-60;темно-синий;Халат вафельный;Классический вафельный;мужской;1003
Uhvm0002sin;Unelle халат вафельный мужской темно-синий гиг;58-60;темно-синий;Халат вафельный;Классический вафельный;мужской;832
Uhvm0007sin;Unelle халат вафельный мужской синий с белым кантом;58-60;темно-синий;Халат вафельный;Дизайнерский вафельный;мужской;835
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;62-64;бежевый;Халат махровый;Классический махровый;женский;1446
Uhmw0003bel;Unelle халат махровый женский белый Лена;62-64;белый;Халат махровый;Классический махровый;женский;1513
ХалатВафЖенбелый;Unelle халат вафельный женский белый;62-64;белый;Халат вафельный;Классический вафельный;женский;794
Uhvw0001bel;Unelle халат вафельный женский белый гиг;62-64;белый;Халат вафельный;Классический вафельный;женский;783
Uhvm0002graf;Unelle халат вафельный мужской графитовый гиг;62-64;графитовый;Халат вафельный;Классический вафельный;мужской;861
Uhvw0001graf;Unelle халат вафельный женский графитовый гиг;62-64;графитовый;Халат вафельный;Классический вафельный;женский;835
ХалатВаф/серый;Unelle халат вафельный мужской серый;62-64;серый;Халат вафельный;Классический вафельный;мужской;830
ХалатВафЖенсерый;Unelle халат вафельный женский серый;62-64;серый;Халат вафельный;Классический вафельный;женский;796
ХалатВаф/темно-синий;Unelle халат вафельный мужской темно-синий;62-64;темно-синий;Халат вафельный;Классический вафельный;мужской;854
Uhvm0002sin;Unelle халат вафельный мужской темно-синий гиг;62-64;темно-синий;Халат вафельный;Классический вафельный;мужской;868
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;66-68;бежевый;Халат махровый;Классический махровый;женский;1578
Uhmw0003bel;Unelle халат махровый женский белый Лена;66-68;белый;Халат махровый;Классический махровый;женский;1578
ХалатВафЖенбелый;Unelle халат вафельный женский белый;66-68;белый;Халат вафельный;Классический вафельный;женский;811
Uhvw0001bel;Unelle халат вафельный женский белый гиг;66-68;белый;Халат вафельный;Классический вафельный;женский;813
Uhvm0002graf;Unelle халат вафельный мужской графитовый гиг;66-68;графитовый;Халат вафельный;Классический вафельный;мужской;891
Uhvw0001graf;Unelle халат вафельный женский графитовый гиг;66-68;графитовый;Халат вафельный;Классический вафельный;женский;838
ХалатВаф/серый;Unelle халат вафельный мужской серый;66-68;серый;Халат вафельный;Классический вафельный;мужской;859
ХалатВафЖенсерый;Unelle халат вафельный женский серый;66-68;серый;Халат вафельный;Классический вафельный;женский;826
ХалатВаф/темно-синий;Unelle халат вафельный мужской темно-синий;66-68;темно-синий;Халат вафельный;Классический вафельный;мужской;889
Uhvm0002sin;Unelle халат вафельный мужской темно-синий гиг;66-68;темно-синий;Халат вафельный;Классический вафельный;мужской;909
ХалатВафЖенбелый;Unelle халат вафельный женский белый;70-72;белый;Халат вафельный;Классический вафельный;женский;847
Uhvw0001bel;Unelle халат вафельный женский белый гиг;70-72;белый;Халат вафельный;Классический вафельный;женский;852
Uhvm0002graf;Unelle халат вафельный мужской графитовый гиг;70-72;графитовый;Халат вафельный;Классический вафельный;мужской;933
Uhvw0001graf;Unelle халат вафельный женский графитовый гиг;70-72;графитовый;Халат вафельный;Классический вафельный;женский;892
ХалатВаф/серый;Unelle халат вафельный мужской серый;70-72;серый;Халат вафельный;Классический вафельный;мужской;886
ХалатВафЖенсерый;Unelle халат вафельный женский серый;70-72;серый;Халат вафельный;Классический вафельный;женский;870
ХалатВаф/темно-синий;Unelle халат вафельный мужской темно-синий;70-72;темно-синий;Халат вафельный;Классический вафельный;мужской;917
Uhvm0002sin;Unelle халат вафельный мужской темно-синий гиг;70-72;темно-синий;Халат вафельный;Классический вафельный;мужской;946
UhvDet0002mint;Unelle халат вафельный детский с вышивкой мятный Лена;92-98;мятный;Халат вафельный;Детский вафельный;дети;481
UhvDet0002sroz;Unelle халат вафельный детский с вышивкой светло-розовый Лена;92-98;светло-розовый;Халат вафельный;Детский вафельный;дети;496
UhvDet0002sin;Unelle халат вафельный детский с капюшоном и вышивкой синий Лена;92-98;синий;Халат вафельный;Детский вафельный;дети;515
