Артикул;Наименование;Характеристика;Цвет;Категория;Подкатегория;пол;СС руб/шт
UhmDet0001mol/roz;Unelle халат махровый детский в полоску молочный/розовый Лена;140-146;молочный розовый;Халат махровый;Детский махровый;дети;850
UhvTeen0001pgol;Unelle халат вафельный для мальчика с капюшоном пыльно-голубой Лена;140-146;пыльно-голубой;Халат вафельный;Детский вафельный;дети;954
UhmTeen0001ser;Unelle халат махровый для девочки серый Лена;140-146;серый;Халат махровый;Детский махровый;дети;812
UhmTeen0001ser2;Unelle халат махровый для мальчика серый Лена;140-146;серый;Халат махровый;Детский махровый;дети;809
UhvTeen0001ser;Unelle халат вафельный для мальчика с капюшоном серый Лена;140-146;серый;Халат вафельный;Детский вафельный;дети;942
UhvTeen0001sin;Unelle халат вафельный для мальчика с капюшоном синий Лена;140-146;синий;Халат вафельный;Детский вафельный;дети;984
UhmTeen0001sir;Unelle халат махровый для девочки сиреневый Лена;140-146;сиреневый;Халат махровый;Детский махровый;дети;796
UhmTeen0001sir2;Unelle халат махровый для девочки сиреневый Лена;140-146;сиреневый;Халат махровый;Детский махровый;дети;730
UhvTeen0001sir;Unelle халат вафельный для девочки с капюшоном сиреневый Лена;140-146;сиреневый;Халат вафельный;Детский вафельный;дети;947
UhmTeen0001maslo;Unelle халат махровый для девочки сливочное масло;140-146;сливочное масло;Халат махровый;Детский махровый;дети;732
UhmTeen0001bezh;Unelle халат махровый для девочки бежевый Лена;152-158;бежевый;Халат махровый;Детский махровый;дети;856
UhmTeen0001lav;Unelle халат махровый для девочки лавандовый Лена;152-158;лавандовый;Халат махровый;Детский махровый;дети;802
UhvTeen0001milk;Unelle халат вафельный для девочки с капюшоном молочный Лена;152-158;молочный;Халат вафельный;Детский вафельный;дети;996
UhmDet0001mol/gol;Unelle халат махровый детский в полоску молочный/голубой Лена;152-158;молочный голубой;Халат махровый;Детский махровый;дети;861
UhmDet0001mol/roz;Unelle халат махровый детский в полоску молочный/розовый Лена;152-158;молочный розовый;Халат махровый;Детский махровый;дети;862
UhvTeen0001pgol;Unelle халат вафельный для мальчика с капюшоном пыльно-голубой Лена;152-158;пыльно-голубой;Халат вафельный;Детский вафельный;дети;1005
UhmTeen0001ser;Unelle халат махровый для девочки серый Лена;152-158;серый;Халат махровый;Детский махровый;дети;813
UhmTeen0001ser2;Unelle халат махровый для мальчика серый Лена;152-158;серый;Халат махровый;Детский махровый;дети;780
UhvTeen0001ser;Unelle халат вафельный для мальчика с капюшоном серый Лена;152-158;серый;Халат вафельный;Детский вафельный;дети;1004
UhvTeen0001sin;Unelle халат вафельный для мальчика с капюшоном синий Лена;152-158;синий;Халат вафельный;Детский вафельный;дети;1047
UhmTeen0001sir;Unelle халат махровый для девочки сиреневый Лена;152-158;сиреневый;Халат махровый;Детский махровый;дети;794
UhmTeen0001sir2;Unelle халат махровый для девочки сиреневый Лена;152-158;сиреневый;Халат махровый;Детский махровый;дети;743
UhvTeen0001sir;Unelle халат вафельный для девочки с капюшоном сиреневый Лена;152-158;сиреневый;Халат вафельный;Детский вафельный;дети;1004
UhmTeen0001maslo;Unelle халат махровый для девочки сливочное масло;152-158;сливочное масло;Халат махровый;Детский махровый;дети;743
UhvW0003bakl;Unelle халат вафельный женский с капюшоном баклажановый;42-44;баклажан;Халат вафельный;Классический вафельный;женский;907
Uhmw0003beig;Unelle халат махровый женский бежевый Лена;42-44;бежевый;Халат махровый;Классический махровый;женский;1066
Uhvw0015bezh;Unelle халат вафельный женский короткий бежевый;42-44;бежевый;Халат вафельный;Классический вафельный;женский;519
Uhvw0007bezh;Unelle халат вафельный женский бежевый с черным кантом;42-44;бежевый;Халат вафельный;Дизайнерский вафельный;женский;673
Uhmw0003bel;Unelle халат махровый женский белый Лена;42-44;белый;Халат махровый;Классический махровый;женский;1369
UhmW0015bel;Unelle халат махровый женский короткий Chloe белый;42-44;белый;Халат махровый;Классический махровый;женский;730
UhmW0014bel;Unelle халат махра-велюр женский белый;42-44;белый;Халат махровый;Дизайнерский махровый;женский;1272
UhvW0003bel;Unelle халат вафельный женский с капюшоном белый;42-44;белый;Халат вафельный;Классический вафельный;женский;931
Uhvw0015bel;Unelle халат вафельный женский короткий белый;42-44;белый;Халат вафельный;Классический вафельный;женский;519
Uhvw0012bel-zel;Unelle халат вафельный женский Olivia;42-44;белый зеленый;Халат вафельный;Дизайнерский вафельный;женский;719
Uhvw0007gol;Unelle халат вафельный женский голубой с бежевым кантом;42-44;Голубой;Халат вафельный;Дизайнерский вафельный;женский;669
UhmW0015graf;Unelle халат махровый женский короткий Chloe графитовый;42-44;графитовый;Халат махровый;Классический махровый;женский;730
Uhmw0003izu;Unelle халат махровый женский изумрудный Лена;42-44;Изумрудный;Халат махровый;Классический махровый;женский;1098
UhmW0001kup;Unelle халат махровый женский с капюшоном капучино Лена;42-44;капучино;Халат махровый;Классический махровый;женский;1598
Uhmw0003kup;Unelle халат махровый женский капучино Лена;42-44;Капучино;Халат махровый;Классический махровый;женский;1339
UhmW0015kup;Unelle халат махровый женский короткий Chloe капучино;42-44;капучино;Халат махровый;Классический махровый;женский;730
Uhvw0008kap;Unelle халат вафельный женский Adele капучино;42-44;Капучино;Халат вафельный;Дизайнерский вафельный;женский;924
UhmW0011lav;Unelle халат махровый женский Nina Richi Rose lilac Лена;42-44;лаванда;Халат махровый;Дизайнерский махровый;женский;1141
UhmW0014lat;Unelle халат махра-велюр женский латте;42-44;латте;Халат махровый;Дизайнерский махровый;женский;1295
